model,top_pick_accuracy,top_3_hit_rate,mrr,nll,brier,calibration_error,prob_min,prob_max,prob_mean,prob_std,prob_q25,prob_q75
baseline,12.104152005629839,35.798348849464254,0.3225204443033899,0.3448839049847844,0.09575881761307573,0.03146923368690504,0.028484119102358818,1.0,0.10477998852729797,0.04193296656012535,0.07618708908557892,0.12450296059250832
btn,11.910626319493314,35.11329703144212,0.3203266465580826,0.5794220841160862,0.12310940258700459,0.11484230903627293,1.849780600316109e-27,1.0,0.10477998852729797,0.16987617313861847,0.004673714283853769,0.12578920274972916
speed_abs,12.526389866291343,36.06183031793431,0.32574936410496363,0.3442462110020698,0.09562992927235756,0.02970226854127126,0.03324520215392113,1.0,0.10477998107671738,0.04056517034769058,0.07692490890622139,0.12498679757118225
speed_rel,12.64954257565095,35.74565255577025,0.3256318015466451,0.34424649109152283,0.09563003051828846,0.03025348092010213,0.03328607976436615,1.0,0.10477998852729797,0.040565136820077896,0.07692643627524376,0.12499688193202019
temperature,12.104152005629839,35.798348849464254,0.3225204443033899,0.3448839049847844,0.09575881761307573,0.03146923368690504,0.028484119102358818,1.0,0.10477998852729797,0.04193296656012535,0.07618708908557892,0.12450296059250832
