feature,importance,rank,percentage,cumulative_pct,potential_leakage
odds_decimal,113.88827514648438,1,26.12733203064426,26.12733203064426,True
odds_implied_prob,41.351783752441406,2,9.48659361791018,35.61392564855444,True
field_size,25.21940040588379,3,5.78563199039397,41.39955763894841,False
runner_number,5.918212890625,4,1.3577087985792673,42.757266437527676,False
weight_lbs_rank,5.798792839050293,5,1.3303124108949698,44.087578848422645,False
draw,5.206231594085693,6,1.194371776305774,45.28195062472842,False
odds_bookmaker_count,5.137794017791748,7,1.1786713780259284,46.46062200275435,False
horse_is_gelding,5.13170862197876,8,1.1772753154660263,47.637897318220375,False
age_rank,5.058251857757568,9,1.1604234554634467,48.79832077368382,False
draw_position_normalized,5.008438587188721,10,1.1489956955995746,49.94731646928339,False
odds_market_stability,4.9152984619140625,11,1.1276282372260344,51.07494470650943,False
race_class_encoded,4.69160795211792,12,1.0763109597097078,52.151255666219136,False
tsr_vs_field_avg,4.683942794799805,13,1.0745524809720157,53.22580814719115,False
typical_running_style,4.649320602416992,14,1.066609736077064,54.292417883268214,False
horse_rpr_rank,4.605630397796631,15,1.0565866807525828,55.349004564020795,False
odds_rank,4.463488578796387,16,1.0239776479466822,56.372982211967475,True
top_3_rpr_avg,4.449989318847656,17,1.0208807563097266,57.393862968277205,False
rating_vs_avg,4.430469512939453,18,1.0164026794446466,58.41026564772185,False
horse_in_top_quartile,4.372106552124023,19,1.0030135184133209,59.41327916613517,False
field_avg_rpr,4.3306756019592285,20,0.9935087630738587,60.40678792920903,False
field_worst_rpr,4.242823123931885,21,0.9733543542009261,61.38014228340996,False
field_rpr_spread,4.212574005126953,22,0.9664148446716588,62.34655712808162,False
rpr,4.159534454345703,23,0.9542469375518473,63.30080406563347,False
age_vs_avg,4.156868934631348,24,0.9536354354589268,64.25443950109239,False
horse_distance_win_rate,4.1082377433776855,25,0.9424788587235611,65.19691835981595,False
horse_rpr_vs_best,4.070199966430664,26,0.9337525378909368,66.13067089770689,False
horse_going_win_rate,4.065671443939209,27,0.9327136406858443,67.06338453839274,False
combo_win_rate,4.042897701263428,28,0.9274890718203902,67.99087361021313,False
horse_best_tsr,4.030848979949951,29,0.9247249510898146,68.91559856130294,False
horse_days_since_last,4.008326530456543,30,0.919558031884999,69.83515659318795,False
weight_vs_avg,3.9999942779541016,31,0.9176465135358587,70.7528031067238,False
field_best_rpr,3.986414909362793,32,0.9145312440184716,71.66733435074228,False
ts,3.985884428024292,33,0.9144095452566874,72.58174389599897,False
headgear_encoded,3.9451839923858643,34,0.905072378684015,73.48681627468298,False
horse_course_wins,3.8850460052490234,35,0.8912760053913482,74.37809228007433,False
horse_win_rate,3.8492095470428467,36,0.8830546933980742,75.2611469734724,False
horse_avg_position,3.8463611602783203,37,0.8824012394173834,76.14354821288978,False
horse_best_rating,3.835744857788086,38,0.8799657326916616,77.02351394558144,False
horse_rpr_vs_worst,3.8340039253234863,39,0.8795663419687183,77.90308028755015,False
prize_money,3.8232553005218506,40,0.8771004789226414,78.7801807664728,False
combo_runs,3.821136236190796,41,0.8766143402283768,79.65679510670117,False
market_rank,3.8151814937591553,42,0.8752482511163208,80.53204335781749,False
horse_avg_tsr_last_5,3.8129754066467285,43,0.8747421483555163,81.40678550617301,False
odds_favorite_rank,3.6887154579162598,44,0.8462354303951644,82.25302093656818,True
combo_strike_rate,3.6839962005615234,45,0.8451527763319023,83.09817371290008,False
course_distance_draw_bias,3.681845188140869,46,0.8446593083638941,83.94283302126397,False
jockey_course_win_rate,3.650930643081665,47,0.8375671420956876,84.78040016335966,False
trainer_course_win_rate,3.5591111183166504,48,0.8165026452688995,85.59690280862856,False
horse_consistency,3.551980495452881,49,0.8148667951262277,86.41176960375478,False
weight_lbs,3.5309157371520996,50,0.8100342877099734,87.22180389146475,False
low_draw_advantage,3.5148892402648926,51,0.8063576177022701,88.02816150916702,False
pace_pressure_likely,3.5085103511810303,52,0.8048942242768595,88.83305573344389,False
horse_form_last_5_avg,3.5054397583007812,53,0.8041897935564011,89.63724552700029,False
going_encoded,3.4449992179870605,54,0.7903240109474627,90.42756953794775,False
odds_is_favorite,3.4357101917266846,55,0.788192997258529,91.21576253520628,False
horse_place_rate,3.428713321685791,56,0.7865878316126486,92.00235036681893,False
odds_spread,3.3979756832122803,57,0.7795362498303944,92.78188661664933,False
horse_career_runs,3.3943426609039307,58,0.7787027910744083,93.56058940772374,False
ofr,3.374351978302002,59,0.7741166894657218,94.33470609718947,False
surface_encoded,3.3038835525512695,60,0.7579503900385149,95.09265648722798,False
horse_career_wins,3.2243311405181885,61,0.7397001155449067,95.83235660277289,False
horse_sex_encoded,3.2145137786865234,62,0.737447895358843,96.56980449813173,False
horse_is_filly_mare,3.212930679321289,63,0.737084713436035,97.30688921156776,False
speed_improving,3.1332757472991943,64,0.7188109196311606,98.02570013119893,False
distance_f,3.0528054237365723,65,0.7003500652576109,98.72605019645654,False
high_draw_advantage,2.928466796875,66,0.6718252975932639,99.3978754940498,False
horse_age,2.624643087387085,67,0.6021245059502025,100.0,False
