feature,train_missing_pct,test_missing_pct,difference,train_null,train_nan_after_convert
trainer_14d_runs,0.0,0.0,0.0,0,0
prize_money,0.0,0.0,0.0,0,0
horse_speed_last_3_avg,0.0,0.0,0.0,0,0
horse_best_speed_career,0.0,0.0,0.0,0,0
horse_avg_speed_furlongs_per_sec,0.0,0.0,0.0,0,0
trainer_is_hot,0.0,0.0,0.0,0,0
trainer_14d_win_pct,0.0,0.0,0.0,0,0
trainer_14d_wins,0.0,0.0,0.0,0,0
horse_is_gelding,0.0,0.0,0.0,0,0
trainer_roi,0.0,0.0,0.0,0,0
horse_is_filly_mare,0.0,0.0,0.0,0,0
horse_sex_encoded,0.0,0.0,0.0,0,0
horse_going_win_rate,0.0,0.0,0.0,0,0
trainer_win_rate_14d,0.0,0.0,0.0,0,0
horse_form_improving,0.0,0.0,0.0,0,0
trainer_distance_win_rate,0.0,0.0,0.0,0,0
pace_pressure_likely,0.0,0.0,0.0,0,0
typical_running_style,0.0,0.0,0.0,0,0
