feature,importance
odds_decimal,113.88827514648438
odds_implied_prob,41.351783752441406
field_size,25.21940040588379
runner_number,5.918212890625
weight_lbs_rank,5.798792839050293
draw,5.206231594085693
odds_bookmaker_count,5.137794017791748
horse_is_gelding,5.13170862197876
age_rank,5.058251857757568
draw_position_normalized,5.008438587188721
odds_market_stability,4.9152984619140625
race_class_encoded,4.69160795211792
tsr_vs_field_avg,4.683942794799805
typical_running_style,4.649320602416992
horse_rpr_rank,4.605630397796631
odds_rank,4.463488578796387
top_3_rpr_avg,4.449989318847656
rating_vs_avg,4.430469512939453
horse_in_top_quartile,4.372106552124023
field_avg_rpr,4.3306756019592285
field_worst_rpr,4.242823123931885
field_rpr_spread,4.212574005126953
rpr,4.159534454345703
age_vs_avg,4.156868934631348
horse_distance_win_rate,4.1082377433776855
horse_rpr_vs_best,4.070199966430664
horse_going_win_rate,4.065671443939209
combo_win_rate,4.042897701263428
horse_best_tsr,4.030848979949951
horse_days_since_last,4.008326530456543
weight_vs_avg,3.9999942779541016
field_best_rpr,3.986414909362793
ts,3.985884428024292
headgear_encoded,3.9451839923858643
horse_course_wins,3.8850460052490234
horse_win_rate,3.8492095470428467
horse_avg_position,3.8463611602783203
horse_best_rating,3.835744857788086
horse_rpr_vs_worst,3.8340039253234863
prize_money,3.8232553005218506
combo_runs,3.821136236190796
market_rank,3.8151814937591553
horse_avg_tsr_last_5,3.8129754066467285
odds_favorite_rank,3.6887154579162598
combo_strike_rate,3.6839962005615234
course_distance_draw_bias,3.681845188140869
jockey_course_win_rate,3.650930643081665
trainer_course_win_rate,3.5591111183166504
horse_consistency,3.551980495452881
weight_lbs,3.5309157371520996
low_draw_advantage,3.5148892402648926
pace_pressure_likely,3.5085103511810303
horse_form_last_5_avg,3.5054397583007812
going_encoded,3.4449992179870605
odds_is_favorite,3.4357101917266846
horse_place_rate,3.428713321685791
odds_spread,3.3979756832122803
horse_career_runs,3.3943426609039307
ofr,3.374351978302002
surface_encoded,3.3038835525512695
horse_career_wins,3.2243311405181885
horse_sex_encoded,3.2145137786865234
horse_is_filly_mare,3.212930679321289
speed_improving,3.1332757472991943
distance_f,3.0528054237365723
high_draw_advantage,2.928466796875
horse_age,2.624643087387085
